culture,date,substrate_ppm,fed,productA_ppm,productB_uM,productC_uM,headspace_volume_ml,overpressure_bar,culture_volume_ml,remarks,day,productB_umol,productC_umol,substrate_umol,productA_umol
culture_1,2018-12-14 00:00:00,10187.421526586622,1,936.0,466.8176977033257,474.18956933431394,100,0,50,NA,0,23.340884885166282,23.709478466715698,43.318324613148796,5.01428139015476
culture_1,2018-12-20 00:00:00,9672.841766723845,1,1654.0,475.54256504329635,450.280911531667,100,0,50,NA,6,23.777128252164818,22.51404557658335,41.13026034007256,8.860706644568346
culture_1,2019-01-03 00:00:00,7275.757718696398,1,1961.0,509.7149621248479,446.960264614632,100,0,50,NA,20,25.485748106242394,22.348013230731603,30.93752760132573,10.505348083433208
culture_1,2019-01-21 00:00:00,4762.893224699827,1,2096.0,564.2453829996642,448.288523381446,100,0,50,NA,38,28.21226914998321,22.4144261690723,20.252480401136747,11.22856174547476
culture_1,2019-01-31 00:00:00,3630.817753001715,1,2489.0,618.0487315961498,461.571111049584,100,0,50,NA,48,30.902436579807485,23.078555552479198,15.438739000369022,13.333917072751277
culture_1,2019-02-15 00:00:00,2181.418096054889,1,2182.0,796.1814397872162,554.5492247265461,100,0,50,NA,63,39.80907198936081,27.727461236327304,9.275691297870946,11.689275633886414
culture_1,2019-02-22 00:00:00,1190.8520583190395,1,2484.0,647.8586950077157,447.624393998039,100,0,50,NA,70,32.392934750385784,22.38121969990195,5.063667572199181,13.307131381564552
culture_1,2019-03-08 00:00:00,0.0,1,2271.0,844.1682101570548,543.25902520863,100,0,50,NA,84,42.20841050785273,27.162951260431498,0.0,12.166060937010105
culture_1,2019-03-08 00:00:00,10509.033876500858,2,NA,NA,NA,100,0,50,NA,84,NA,NA,44.68586478382145,NA
culture_1,2019-03-15 00:00:00,8956.718267581477,2,1782.0,3462.355484426569,1852.9221692869899,100,0,50,NA,91,173.11777422132846,92.6461084643495,38.08520422670812,9.546420338948485
culture_1,2019-03-22 00:00:00,8287.764579759863,2,2356.0,780.9129219422676,460.24285228277,100,0,50,NA,98,39.045646097113384,23.0121426141385,35.240720671709,12.621417687184415
culture_1,2019-03-28 00:00:00,7726.015008576329,2,2308.0,3453.667912101496,1832.9994773665899,100,0,50,NA,104,172.6833956050748,91.6499738683295,32.85208384026743,12.364275051791864
culture_2,2018-12-14 00:00:00,7550.200257289879,1,NA,281.44896238251,6.242722297813151,100,0,50,NA,0,14.0724481191255,0.31213611489065757,32.10449521363305,NA
culture_2,2018-12-20 00:00:00,6242.310034305318,1,1213.0,304.8288291067645,2.44569181357135,100,0,50,NA,6,15.241441455338224,0.12228459067856749,26.543165186230947,6.498208681899277
culture_2,2019-01-03 00:00:00,4136.821183533448,1,1448.0,397.7458312618917,2.80555685884775,100,0,50,NA,20,19.887291563094582,0.14027784294238752,17.59033553556066,7.75713616767531
culture_2,2019-01-21 00:00:00,311.77830188679246,1,1851.0,444.2784570750683,1.9462654991064001,100,0,50,NA,38,22.213922853753413,0.09731327495532001,1.3257244390272693,9.916062877325277
culture_2,2019-01-21 00:00:00,8416.409519725557,2,NA,NA,NA,100,0,50,NA,38,NA,NA,35.78773673997806,NA
culture_2,2019-01-31 00:00:00,5963.579331046312,2,941.0,523.5293354131346,2.80555685884775,100,0,50,NA,48,26.17646677065673,0.14027784294238752,25.357963704981316,5.041067081341483
culture_2,2019-02-15 00:00:00,2138.536449399657,2,1967.0,782.3670664989295,1.9462654991064001,100,0,50,NA,63,39.118353324946476,0.09731327495532001,9.093352608447926,10.537490912857276
culture_2,2019-02-22 00:00:00,0.0,2,3256.0,629.6818880494437,3.6648482185891003,100,0,50,NA,70,31.484094402472188,0.183242410929455,0.0,17.44284210079476
culture_2,2019-02-22 00:00:00,7948.999571183534,3,NA,NA,NA,100,0,50,NA,70,NA,NA,33.800245025267145,NA
culture_2,2019-03-08 00:00:00,4063.922384219554,3,3884.0,982.3119430399228,1.9462654991064001,100,0,50,NA,84,49.11559715199614,0.09731327495532001,17.280359763541526,20.80712491384731
culture_2,2019-03-15 00:00:00,2464.436963979417,3,3406.0,1605.4128855694903,3.6648482185891003,100,0,50,NA,91,80.27064427847452,0.183242410929455,10.479126648062879,18.246412836396484
culture_2,2019-03-22 00:00:00,989.3083190394512,3,4679.0,831.8079814254295,1.9462654991064001,100,0,50,NA,98,41.59039907127147,0.09731327495532001,4.206675731910987,25.066049812536452
culture_2,2019-03-28 00:00:00,24.471269296741,3,4180.0,1860.6152552636304,2.80555685884775,100,0,50,NA,104,93.03076276318153,0.14027784294238752,0.10405521989303489,22.392837832101378
control,2018-12-14 00:00:00,9651.400943396227,1,NA,13.797844552765259,7.3296964371782005,100,0,50,NA,0,0.689892227638263,0.36648482185891,41.03909099536104,NA
control,2018-12-20 00:00:00,9780.04588336192,1,0.0,26.711811768577363,3.6648482185891003,100,0,50,NA,6,1.3355905884288681,0.183242410929455,41.586107063630095,0.0
control,2019-01-03 00:00:00,9497.027015437394,1,0.0,28.598753624976855,3.6648482185891003,100,0,50,NA,20,1.4299376812488427,0.183242410929455,40.38267171343817,0.0
control,2019-01-21 00:00:00,9587.07847341338,1,0.0,49.355114045371344,2.80555685884775,100,0,50,NA,38,2.467755702268567,0.14027784294238752,40.765582961226514,0.0
control,2019-01-31 00:00:00,9145.397512864494,1,0.0,163.51509635754098,12.257761816002601,100,0,50,NA,48,8.17575481787705,0.6128880908001301,38.88749446016941,0.0
control,2019-02-15 00:00:00,8772.32718696398,1,0.0,67.28106168116656,1.9462654991064001,100,0,50,NA,63,3.3640530840583285,0.09731327495532001,37.30114786218913,0.0
control,2019-02-22 00:00:00,8489.308319039452,1,0.0,59.73329425556858,1.9462654991064001,100,0,50,NA,70,2.986664712778429,0.09731327495532001,36.0977125119972,0.0
control,2019-03-08 00:00:00,8270.61192109777,1,0.0,111.62419530655475,1.9462654991064001,100,0,50,NA,84,5.5812097653277375,0.09731327495532001,35.16778519593979,0.0
control,2019-03-15 00:00:00,7893.253430531732,1,0.0,121.05890458855222,7.96130501729586,100,0,50,NA,91,6.052945229427611,0.39806525086479305,33.56320472901722,0.0
control,2019-03-22 00:00:00,7627.387221269297,1,0.0,108.79378252195555,2.80555685884775,100,0,50,NA,98,5.439689126097777,0.14027784294238752,32.43270485459449,0.0
control,2019-03-28 00:00:00,7421.555317324184,1,0.0,264.4664856749141,3.6648482185891003,100,0,50,NA,104,13.223324283745706,0.183242410929455,31.557479145363992,0.0
culture_2,2019-04-05 00:00:00,10328.930960548889,4,NA,NA,NA,100,0,50,NA,112,NA,NA,43.920042288244765,NA
