culture,x_name,y_name,slope,intercept,r_squared,x_values,y_values
culture_1,day,productA_umol,0.04324953753879716,8.52147123796694,0.4259141472169732,  0   6  20  38  48  63  70  84  91  98 104," 5.01428139  8.86070664 10.50534808 11.22856175 13.33391707 11.68927563
 13.30713138 12.16606094  9.54642034 12.62141769 12.36427505"
culture_1,day,productB_umol,0.1930640595970534,22.52624187445946,0.8497881971731027, 0  6 20 38 48 63 70 84 98,"23.34088489 23.77712825 25.48574811 28.21226915 30.90243658 39.80907199
 32.39293475 42.20841051 39.0456461 "
culture_1,day,substrate_umol,-0.5526067565356482,42.97219231105097,0.9934018489674652, 0  6 20 38 48 63 70,"43.31832461 41.13026034 30.9375276  20.2524804  15.438739    9.2756913
  5.06366757"
culture_1,day,substrate_umol,-0.5755128267383985,91.95805230072057,0.9482873896984736, 84  91  98 104,44.68586478 38.08520423 35.24072067 32.85208384
culture_2,day,productA_umol,0.1929397555932125,2.369670523779684,0.7983955544717417,  6  20  38  48  63  70  84  91  98 104," 6.49820868  7.75713617  9.91606288  5.04106708 10.53749091 17.4428421
 20.80712491 18.24641284 25.06604981 22.39283783"
culture_2,day,productB_umol,0.3359703898918972,12.82673980320163,0.8744228405458981, 0  6 20 38 48 63 70 84 98,"14.07244812 15.24144146 19.88729156 22.21392285 26.17646677 39.11835332
 31.4840944  49.11559715 41.59039907"
culture_2,day,substrate_umol,-0.7938975414481259,32.09329075678299,0.9947102863232475, 0  6 20 38,32.10449521 26.54316519 17.59033554  1.32572444
culture_2,day,substrate_umol,-1.069080526406549,76.5106838293277,0.9998882313114245,38 48 63,35.78773674 25.3579637   9.09335261
culture_2,day,substrate_umol,-0.9991016629337361,102.49378114401114,0.9902235495664444, 70  84  91  98 104,33.80024503 17.28035976 10.47912665  4.20667573  0.10405522
control,day,productB_umol,0.047876346783002156,1.2252608477091043,0.44986989879139194, 0  6 20 38 48 63 70 84 98,"0.68989223 1.33559059 1.42993768 2.4677557  8.17575482 3.36405308
 2.98666471 5.58120977 5.43968913"
control,day,substrate_umol,-0.09504580112516317,42.53631543570714,0.9277895645791591,  0   6  20  38  48  63  70  84  91  98 104,"41.039091   41.58610706 40.38267171 40.76558296 38.88749446 37.30114786
 36.09771251 35.1677852  33.56320473 32.43270485 31.55747915"
